profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,chronic disease,chronic disease,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,chronic disease,MTH,C0008679 | C0024117 | C0018203 | C0746102,yes,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,Chronic disease,Chronic Disease,Chronic Disease
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,rational pharmacotherapy,rational pharmacotherapy,"Pharmacotherapy | antidepressant pharmacotherapy | Psychotherapy, Rational-Emotive | Rational emotive therapy | Conversation content rational",,MTH | MSH | SNOMEDCT_US,C0013216 | C2957654 | C0033973 | C0542311 | C0582170,yes,"Pharmacotherapy | antidepressant pharmacotherapy | Psychotherapy, Rational-Emotive | Rational emotive therapy | Conversation content rational",rational pharmacotherapy,Rational Pharmacotherapy,Rational Pharmacotherapy
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,evidence-based treatment for neurological,evidence-based treatment for neurological,Prophylactic treatment | radiation treatment delivery (treatment) | treatment user finding: (treatment) | Evidence Synthesis,evidence based,MTH | MSH,C0199176 | C2094475 | C2090922 | C6016641,yes,Prophylactic treatment | radiation treatment delivery (treatment) | treatment user finding: (treatment) | Evidence Synthesis,evidence-based treatment for neurological,Evidence Based Treatment For Neurological,
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,mental health disorders,mental health disorders,mental health | Mental health treatment | Mental disorders,mental health disorders | mental health | health disorders,MTH | SNOMEDCT_US,C0025353 | C0184647 | C0004936,yes,mental health | Mental health treatment | Mental disorders,mental health,Mental Health,Mental Health
Tamara Pringsheim,https://profiles.ucalgary.ca/tamara-pringsheim,neurology and mental health,neurology and mental health,mental health | Neurological mental status determination | Mental health treatment,neurology mental | mental health,MTH | SNOMEDCT_US,C0025353 | C0200080 | C0184647,yes,mental health | Neurological mental status determination | Mental health treatment,mental health,Mental Health,Mental Health
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,social recovery of critical care survivors,social recovery of critical care survivors,"Recovery certificate | Critical Pathways | Phobia, Social | Social Problems | Critical Illness",,MTH | MSH,C5890789 | C0282655 | C0031572 | C0037431 | C0010340,yes,"Recovery certificate | Critical Pathways | Phobia, Social | Social Problems | Critical Illness",social recovery of critical care survivors,Social Recovery Of Critical Care Survivors,
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,"caregivers, 3) investigating burnout",caregivers 3 investigating burnout,"Burnout, Caregiver | Gastrointestinal investigation | Investigational New Drugs | Burnout, Psychological | Burnout, Professional",,MSH | MTH,C4704714 | C0430681 | C0013230 | C1696945 | C0006433,yes,"Burnout, Caregiver | Gastrointestinal investigation | Investigational New Drugs | Burnout, Psychological | Burnout, Professional","Burnout, Caregiver",Burnout Caregiver,Burnout Caregiver
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,mental wellbeing,mental wellbeing,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,,MTH,C0011570 | C0004936 | C0025362 | C0029266 | C1306341,yes,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,mental wellbeing,Mental Wellbeing,Mental Wellbeing
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,addiction and addictive behaviours,addiction and addictive behaviours,Addictive Behavior | Opiate Addiction | Drug addict | Amphetamine Addiction,addiction and addictive behaviours | addiction addictive behaviours | addiction addictive | addictive behaviours,MTH | MSH,C0085281 | C0524662 | C0700285 | C0236804,yes,Addictive Behavior | Opiate Addiction | Drug addict | Amphetamine Addiction,addiction and addictive behaviours,Addiction And Addictive Behaviours,Addiction And Addictive Behaviours
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,collaborative practices in therapy,collaborative practices in therapy,Therapeutic procedure | Speech Therapy | Radiation therapy (procedure) | Rehabilitation therapy | Physical therapy,practices therapy,MTH,C0087111 | C0037831 | C1522449 | C0034991 | C0949766,yes,Therapeutic procedure | Speech Therapy | Radiation therapy (procedure) | Rehabilitation therapy | Physical therapy,collaborative practices in therapy,Collaborative Practices In Therapy,Collaborative Practices In Therapy
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,qualitative psychotherapy process research,qualitative psychotherapy process research,"Qualitative Research | Psychotherapy | Group Psychotherapy | Family psychotherapy | Psychotherapy, Multiple",,MSH | MTH,C0949415 | C0033968 | C0033971 | C0015618 | C0033972,yes,"Qualitative Research | Psychotherapy | Group Psychotherapy | Family psychotherapy | Psychotherapy, Multiple",Qualitative Research,Qualitative Research,Qualitative Research
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,social constructionist approaches to counselling,social constructionist approaches to counselling,"Nutritional approaches | Phobia, Social | Social Problems",,MTH | MSH,C1718142 | C0031572 | C0037431,yes,"Nutritional approaches | Phobia, Social | Social Problems",social constructionist approaches to counselling,Social Constructionist Approaches To Counselling,
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,social practice,social practice,"Phobia, Social | Social Problems | Feeding practice",,MSH | SNOMEDCT_US,C0031572 | C0037431 | C0567465,yes,"Phobia, Social | Social Problems | Feeding practice",social practice,Social Practice,Social Practice
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,family therapy,family therapy,Family support (regime/therapy) | Extended family therapy | Functional family therapy | Expressed emotion family therapy,family therapy,MTH | SNOMEDCT_US,C0150232 | C0204563 | C3839316 | C0582780,yes,Family support (regime/therapy) | Extended family therapy | Functional family therapy | Expressed emotion family therapy,Extended family therapy,Family Therapy,Family Therapy
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,social constructionist approaches to counselling and psychotherapy,social constructionist approaches to counselling and psychotherapy,"Nutritional approaches | Phobia, Social | Social Problems",,MTH | MSH,C1718142 | C0031572 | C0037431,yes,"Nutritional approaches | Phobia, Social | Social Problems",social constructionist approaches to counselling and psychotherapy,Social Constructionist Approaches To Counselling And Psychotherapy,
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,excessive behaviours,excessive behaviours,Excess behavior,excessive behaviours,SNOMEDCT_US,C0562444,yes,Excess behavior,excessive behaviours,Excessive Behaviours,Excessive Behaviours
Tanya Mudry,https://profiles.ucalgary.ca/tanya-mudry,youth mental health,youth mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Theresa Green,https://profiles.ucalgary.ca/theresa-green,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Theresa Green,https://profiles.ucalgary.ca/theresa-green,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Depression,Depression
Theresa Green,https://profiles.ucalgary.ca/theresa-green,impact of neurological disease,impact of neurological disease,Enteroviral neurological disease | Fear of neurological disease,neurological disease,SNOMEDCT_US,C5567243 | C0848536,yes,Enteroviral neurological disease | Fear of neurological disease,Fear of neurological disease,Neurological Disease,Neurological Disease
Theresa Green,https://profiles.ucalgary.ca/theresa-green,caregiver outcomes,caregiver outcomes,Caregiver Burden | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,caregiver outcomes,MTH,C0870252 | C0518896 | C2963499 | C5445044 | C0518891,yes,Caregiver Burden | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,caregiver outcomes,Caregiver Outcomes,Caregiver Outcomes
Theresa Green,https://profiles.ucalgary.ca/theresa-green,rehabilitation nursing,rehabilitation nursing,Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation,rehabilitation nursing,MTH,C0034991 | C0034996 | C0700431 | C0204598,yes,Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation,rehabilitation nursing,Rehabilitation Nursing,Rehabilitation Nursing
Theresa Green,https://profiles.ucalgary.ca/theresa-green,clinical practice guidelines,clinical practice guidelines,Clinical Practice Guideline | Good Clinical Practice | Published Practice Guidelines | Practice Guidelines as Topic,clinical practice guidelines | clinical practice | practice guidelines,MSH | MTH,C0282451 | C2986419 | C0936005 | C0162793,yes,Clinical Practice Guideline | Good Clinical Practice | Published Practice Guidelines | Practice Guidelines as Topic,Clinical Practice Guideline,Clinical Practice Guideline,Clinical Practice Guideline
Theresa Green,https://profiles.ucalgary.ca/theresa-green,rehabilitation settings (stand-alone,rehabilitation settings stand-alone,Does stand alone | Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation,rehabilitation settings,SNOMEDCT_US | MTH,C0560204 | C0034991 | C0034996 | C0700431 | C0204598,yes,Does stand alone | Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation,Does stand alone,Stand Alone,Stand Alone
Theresa Green,https://profiles.ucalgary.ca/theresa-green,integrated service models),integrated service models,"Integrated Learning System | Integrated Neuromusculoskeletal Release | Counselling service | Models, Statistical | Models, Chemical",,MTH | MSH,C1512807 | C1704538 | C0542296 | C0026348 | C0026341,yes,"Integrated Learning System | Integrated Neuromusculoskeletal Release | Counselling service | Models, Statistical | Models, Chemical",integrated service models),Integrated Service Models,Integrated Service Models
Theresa Green,https://profiles.ucalgary.ca/theresa-green,post-acute transitional care (rehabilitation,post-acute transitional care rehabilitation,Transition from self-care to acute care | Transition from acute care to self-care | Transition from hospice to acute care | Transition from acute care to hospice | Transition from acute care to long-term care,acute transitional care,SNOMEDCT_US,C4047679 | C4047682 | C3266252 | C3266244 | C3266243,yes,Transition from self-care to acute care | Transition from acute care to self-care | Transition from hospice to acute care | Transition from acute care to hospice | Transition from acute care to long-term care,Transition from acute care to hospice,Transition From Acute Care,Transition From Acute Care
Thomas Erskine Feasby,https://profiles.ucalgary.ca/thomas-erskine-feasby,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Thomas Raedler,https://profiles.ucalgary.ca/thomas-raedler,early psychosis,early psychosis,Psychosis in early childhood | Early intervention in psychosis HRGs,early psychosis,SNOMEDCT_US,C3531752 | C1271770,yes,Psychosis in early childhood | Early intervention in psychosis HRGs,Psychosis in early childhood,Psychosis In Early,Psychosis In Early
Thomas Raedler,https://profiles.ucalgary.ca/thomas-raedler,schizophrenia,schizophrenia,"Schizophrenia | Paranoid Schizophrenia | Schizophrenia, Disorganized | Schizophrenia, Catatonic | Residual schizophrenia",schizophrenia,MTH | MSH | SNOMEDCT_US,C0036341 | C0036349 | C0036347 | C0036344 | C0036351,yes,"Schizophrenia | Paranoid Schizophrenia | Schizophrenia, Disorganized | Schizophrenia, Catatonic | Residual schizophrenia",Schizophrenia,Schizophrenia,Schizophrenia
Thomas Raedler,https://profiles.ucalgary.ca/thomas-raedler,anxiety disorders,anxiety disorders,Anxiety Disorders | Generalized Anxiety Disorder | Anxiety disorders NEC in MedDRA,anxiety disorders,MTH,C0003469 | C0270549 | C0853381,yes,Anxiety Disorders | Generalized Anxiety Disorder | Anxiety disorders NEC in MedDRA,Anxiety Disorders,Anxiety Disorders,Anxiety Disorders
Thomas Raedler,https://profiles.ucalgary.ca/thomas-raedler,psychiatric research,psychiatric research,"Psychiatric symptom | research | Research Design | Fetishism, Psychiatric | Psychiatric Rehabilitation",psychiatric research,MTH | MSH,C0233401 | C0035168 | C0035171 | C0015957 | C0204512,yes,"Psychiatric symptom | research | Research Design | Fetishism, Psychiatric | Psychiatric Rehabilitation",psychiatric research,Psychiatric Research,Psychiatric Research
Thomas Raedler,https://profiles.ucalgary.ca/thomas-raedler,clinical psychiatry,clinical psychiatry,Clinical Trials,clinical psychiatry,MTH,C0008976,yes,Clinical Trials,clinical psychiatry,Clinical Psychiatry,Clinical Psychiatry
Timothy Shutt,https://profiles.ucalgary.ca/timothy-shutt,cell signaling,cell signaling,mesenchymal-epithelial cell signaling | mesodermal-endodermal cell signaling | endodermal-mesodermal cell signaling | epithelial-mesenchymal cell signaling,cell signaling,MTH,C2752865 | C2753529 | C2753531 | C2752912,yes,mesenchymal-epithelial cell signaling | mesodermal-endodermal cell signaling | endodermal-mesodermal cell signaling | epithelial-mesenchymal cell signaling,mesodermal-endodermal cell signaling,Cell Signaling,Cell Signaling
Timothy Shutt,https://profiles.ucalgary.ca/timothy-shutt,structure molecular biology,structure molecular biology,Molecular Structure | Molecular biology method | Molecular biology identification technique,structure molecular | molecular biology,MSH | SNOMEDCT_US,C0026383 | C0200924 | C0200925,yes,Molecular Structure | Molecular biology method | Molecular biology identification technique,Molecular Structure,Molecular Structure,Molecular Structure
Timothy Shutt,https://profiles.ucalgary.ca/timothy-shutt,molecular biology and disease,molecular biology and disease,Molecular biology method | Molecular biology identification technique,molecular biology,SNOMEDCT_US,C0200924 | C0200925,yes,Molecular biology method | Molecular biology identification technique,Molecular biology method,Molecular Biology,Molecular Biology
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,"biostatistics, patient-reported outcomes, clinical trials",biostatistics patient-reported outcomes clinical trials,Patient Reported Outcome | Patient reported outcomes with LASIK | OS Patient Reported Outcomes Metadata Table | GCT Patient Reported Outcomes Metadata Table | Patient Reported Outcome Stem,patient reported outcomes,MTH,C2987124 | C5552327 | C5552934 | C5447745 | C4553151,yes,Patient Reported Outcome | Patient reported outcomes with LASIK | OS Patient Reported Outcomes Metadata Table | GCT Patient Reported Outcomes Metadata Table | Patient Reported Outcome Stem,Patient Reported Outcome,Patient Reported Outcome,Patient Reported Outcome
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,patient-reported outcomes,patient-reported outcomes,Patient Reported Outcome | Patient reported outcomes with LASIK | OS Patient Reported Outcomes Metadata Table | GCT Patient Reported Outcomes Metadata Table | Patient Reported Outcome Stem,patient-reported outcomes | patient reported outcomes | patient reported | reported outcomes,MTH,C2987124 | C5552327 | C5552934 | C5447745 | C4553151,yes,Patient Reported Outcome | Patient reported outcomes with LASIK | OS Patient Reported Outcomes Metadata Table | GCT Patient Reported Outcomes Metadata Table | Patient Reported Outcome Stem,Patient Reported Outcome,Patient Reported Outcome,Patient Reported Outcome
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,clinical trials,clinical trials,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials Design | Clinical Trials, Phase II",clinical trials,MTH,C0008976 | C1516647 | C1516636 | C0282460,yes,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials Design | Clinical Trials, Phase II",Clinical Trials,Clinical Trials,Clinical Trials
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,cardiology,cardiology,,cardiology,,,no,cardiology,cardiology,Cardiology,Cardiology
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,clinical practice guidelines,clinical practice guidelines,Clinical Practice Guideline | Good Clinical Practice | Published Practice Guidelines | Practice Guidelines as Topic,clinical practice guidelines | clinical practice | practice guidelines,MSH | MTH,C0282451 | C2986419 | C0936005 | C0162793,yes,Clinical Practice Guideline | Good Clinical Practice | Published Practice Guidelines | Practice Guidelines as Topic,Clinical Practice Guideline,Clinical Practice Guideline,Clinical Practice Guideline
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,clinical outcomes,clinical outcomes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,MTH,C0008976 | C0518896 | C2963499 | C5445044 | C0518891,yes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,Clinical Outcomes,Clinical Outcomes
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C4046035 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Tolulope Sajobi,https://profiles.ucalgary.ca/tolulope-sajobi,data-driven machine-learning methods to efficiently cluster (i,data-driven machine-learning methods to efficiently cluster i,,,,,no,data-driven machine-learning methods to efficiently cluster i,data-driven machine-learning methods to efficiently cluster (i,Data Driven Machine Learning Methods To Efficiently Cluster I,
Tuan Trang,https://profiles.ucalgary.ca/tuan-trang,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Tuan Trang,https://profiles.ucalgary.ca/tuan-trang,discovering the fundamental molecules,discovering the fundamental molecules,Cell Adhesion Molecules | Intercellular Adhesion Molecules | Leukocyte Adhesion Molecules | Discover LC | Lyt molecules,,MTH | MSH,C0007578 | C0242565 | C0282400 | C4549227 | C0126519,yes,Cell Adhesion Molecules | Intercellular Adhesion Molecules | Leukocyte Adhesion Molecules | Discover LC | Lyt molecules,discovering the fundamental molecules,Discovering The Fundamental Molecules,Discovering The Fundamental Molecules
Tuan Trang,https://profiles.ucalgary.ca/tuan-trang,apparently similar disorders,apparently similar disorders,Deglutition Disorders | Migraine Disorders | Cerebrovascular Disorders | Personality Disorders | No injuries apparent,similar disorders,MTH | MSH | SNOMEDCT_US,C0011168 | C0149931 | C0007820 | C0031212 | C0557880,yes,Deglutition Disorders | Migraine Disorders | Cerebrovascular Disorders | Personality Disorders | No injuries apparent,apparently similar disorders,Apparently Similar Disorders,Apparently Similar Disorders
Tuan Trang,https://profiles.ucalgary.ca/tuan-trang,es on discovering the fundamental molecules,es on discovering the fundamental molecules,Cell Adhesion Molecules | Intercellular Adhesion Molecules | Leukocyte Adhesion Molecules | Discover LC | Lyt molecules,,MTH | MSH,C0007578 | C0242565 | C0282400 | C4549227 | C0126519,yes,Cell Adhesion Molecules | Intercellular Adhesion Molecules | Leukocyte Adhesion Molecules | Discover LC | Lyt molecules,es on discovering the fundamental molecules,Es On Discovering The Fundamental Molecules,
Tyler Cluff,https://profiles.ucalgary.ca/tyler-cluff,neuroscience - motor control,neuroscience - motor control,Neurological status: central motor control | Motor control test | Disorders of attention and motor control | Deficits in attention motor control and perception,motor control,SNOMEDCT_US | MTH,C0517961 | C4720933 | C0454623 | C0454625,yes,Neurological status: central motor control | Motor control test | Disorders of attention and motor control | Deficits in attention motor control and perception,Motor control test,Motor Control,Motor Control
Tyler Cluff,https://profiles.ucalgary.ca/tyler-cluff,control of voluntary movements,control of voluntary movements,Epistaxis control | Pain control | Involuntary Movements | Eye Movements | Voluntary nystagmus,voluntary movements,MTH | SNOMEDCT_US,C0188972 | C1304888 | C0427086 | C0015413 | C0339667,yes,Epistaxis control | Pain control | Involuntary Movements | Eye Movements | Voluntary nystagmus,control of voluntary movements,Control Of Voluntary Movements,Control Of Voluntary Movements
Tyler Cluff,https://profiles.ucalgary.ca/tyler-cluff,basic principles of sensory processing,basic principles of sensory processing,basic fuchsin | Basic information | Osteopathic Principles and Practice | Sensory Disorders | Sensory neuropathy,,MTH,C0073578 | C6024650 | C1704592 | C0152027 | C0151313,yes,basic fuchsin | Basic information | Osteopathic Principles and Practice | Sensory Disorders | Sensory neuropathy,basic principles of sensory processing,Basic Principles Of Sensory Processing,
Tyler Cluff,https://profiles.ucalgary.ca/tyler-cluff,functional magnetic resonance imaging,functional magnetic resonance imaging,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,functional magnetic resonance imaging | functional magnetic resonance | magnetic resonance imaging | functional magnetic,MTH | SNOMEDCT_US,C1705491 | C0024485 | C3898221 | C1136216 | C0412677,yes,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging
Tyler Cluff,https://profiles.ucalgary.ca/tyler-cluff,how they impact motor learning,how they impact motor learning,Basic motor learning problem,impact motor | motor learning,SNOMEDCT_US,C0233843,yes,Basic motor learning problem,Basic motor learning problem,Basic Motor Learning,Basic Motor Learning
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,mood disorders,mood disorders,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,mood disorders,MSH | SNOMEDCT_US | MTH,C0525045 | C0086640 | C0029232 | C0005586,yes,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,Mood Disorders,Mood Disorders,Mood Disorders
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,functional magnetic resonance imaging,functional magnetic resonance imaging,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,functional magnetic resonance imaging | functional magnetic resonance | magnetic resonance imaging | functional magnetic,MTH | SNOMEDCT_US,C1705491 | C0024485 | C3898221 | C1136216 | C0412677,yes,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Mental Depression,Mental Depression
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,cardiovascular disease) on mental illness,cardiovascular disease on mental illness,Cardiovascular Diseases | Cardiovascular disease+Pulmonary disease | FH: Cardiovascular disease | Cardiovascular renal disease,cardiovascular disease,MTH | SNOMEDCT_US,C0007222 | C4072686 | C0455404 | C0264656,yes,Cardiovascular Diseases | Cardiovascular disease+Pulmonary disease | FH: Cardiovascular disease | Cardiovascular renal disease,Cardiovascular Diseases,Cardiovascular Diseases,Cardiovascular Diseases
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,impact of mental illness of medical comorbity,impact of mental illness of medical comorbity,Wandering - impact | IMPACT gene | Mental Depression | Mental disorders | Mental Retardation,,MTH,C2707019 | C1825598 | C0011570 | C0004936 | C0025362,yes,Wandering - impact | IMPACT gene | Mental Depression | Mental disorders | Mental Retardation,impact of mental illness of medical comorbity,Impact Of Mental Illness Of Medical Comorbity,
Valerie Taylor,https://profiles.ucalgary.ca/valerie-taylor,chronic disease,chronic disease,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,chronic disease,MTH,C0008679 | C0024117 | C0018203 | C0746102,yes,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,Chronic disease,Chronic Disease,Chronic Disease
Veronica Bruno,https://profiles.ucalgary.ca/veronica-bruno,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Veronica Bruno,https://profiles.ucalgary.ca/veronica-bruno,parkinson disease,parkinson disease,"Parkinson Disease | Parkinson Disease, Mitochondrial | Parkinson Disease 16 | Parkinson Disease, Postencephalitic",parkinson disease,MTH | MSH,C0030567 | C1838867 | C2751012 | C0030568,yes,"Parkinson Disease | Parkinson Disease, Mitochondrial | Parkinson Disease 16 | Parkinson Disease, Postencephalitic",Parkinson Disease,Parkinson Disease,Parkinson Disease
Veronica Bruno,https://profiles.ucalgary.ca/veronica-bruno,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Veronica Bruno,https://profiles.ucalgary.ca/veronica-bruno,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Victoria Burns,https://profiles.ucalgary.ca/victoria-burns,mental health and wellness,mental health and wellness,mental health | Mental health treatment,mental health | health wellness,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Victoria Burns,https://profiles.ucalgary.ca/victoria-burns,aging in place,aging in place,Premature aging syndrome | Cell Aging | Erythrocyte Aging | Disorientated in place,aging in place | aging place,MTH | MSH | SNOMEDCT_US,C0231341 | C5550967 | C0014768 | C0233409,yes,Premature aging syndrome | Cell Aging | Erythrocyte Aging | Disorientated in place,Disorientated in place,Place,Place
Victoria Burns,https://profiles.ucalgary.ca/victoria-burns,i am a registered social worker,i am a registered social worker,"Phobia, Social | Social Problems | Registered disabled",,MSH | SNOMEDCT_US,C0031572 | C0037431 | C0578858,yes,"Phobia, Social | Social Problems | Registered disabled",i am a registered social worker,I Am A Registered Social Worker,
Vikram Karnik,https://profiles.ucalgary.ca/vikram-karnik-0,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Voon Wee Yong,https://profiles.ucalgary.ca/voon-wee-yong,cns regeneration,cns regeneration,Nerve Regeneration,,MTH,C0027756,yes,Nerve Regeneration,cns regeneration,Cns Regeneration,Cns Regeneration
